image_couple_name,pair,preprocessing,bin,method,tx,residuo_tx,ty,residuo_ty,theta,residuo_theta,residuo_diag
zh3_01_01,c1,gray-gauss-5,64,Nelder-Mead,-5.621986300067727,0.73563,13.865982779339703,0.10812,-0.06154,0.00031,0.7435319104769763
zh3_01_01,c1,gray-gauss-5,128,powell,-5.653385808002081,0.70423,13.728700540782683,-0.02916,-0.06158,0.00027,0.7048323609746879
zh3_01_01,c1,gray-gauss-5,128,Nelder-Mead,-5.5493005543545575,0.80831,13.814774801091971,0.05691,-0.06137,0.00048,0.8103154273109534
zh3_01_01,c1,gray-gauss-5,256,powell,-5.672791296500048,0.68482,13.763563834205286,0.0057,-0.06174,0.00011,0.6848471871960491
zh3_01_01,c1,gray-gauss-5,256,Nelder-Mead,-5.668708771001613,0.68891,13.77849632584838,0.02064,-0.06167,0.00018,0.6892149709374275
zh3_01_01,c1,hsv_v-gauss-5,64,powell,-5.780062281442072,0.57755,13.85219729802617,0.09434,-0.06227,-0.00042,0.5852062359481363
zh3_01_01,c1,hsv_v-gauss-5,64,Nelder-Mead,-5.7136158080021,0.644,13.589220540782662,-0.16864,-0.06158,0.00027,0.6657130886674812
zh3_01_01,c1,hsv_v-gauss-5,128,powell,-5.337132465197403,1.02048,13.654859838554785,-0.103,-0.06055,0.0013,1.0256671541404547
zh3_01_01,c1,hsv_v-gauss-5,128,Nelder-Mead,-5.487744758894406,0.86987,13.751721956336553,-0.00614,-0.06119,0.00066,0.8698916290696859
zh3_01_01,c1,hsv_v-gauss-5,256,powell,-5.491347299263696,0.86627,13.799594775636336,0.04173,-0.06093,0.00092,0.8672721874067805
zh3_01_01,c1,hsv_v-gauss-5,256,Nelder-Mead,-5.427219858689691,0.93039,13.763879911245027,0.00602,-0.0605,0.00135,0.9304143472861738
zh3_01_01,c1,pca-gauss-5,64,powell,-5.340985384089482,1.01663,13.729075295094077,-0.02878,-0.06068,0.00117,1.0170367719866766
zh3_01_01,c1,pca-gauss-5,64,Nelder-Mead,-5.560571502228198,0.79704,13.82408460577227,0.06622,-0.06151,0.00034,0.7997897185825459
zh3_01_01,c1,pca-gauss-5,128,powell,-5.359458576457749,0.99816,13.625966056686792,-0.13189,-0.06029,0.00156,1.006832533349915
zh3_01_01,c1,pca-gauss-5,128,Nelder-Mead,-5.583994945986445,0.77362,13.847917344109078,0.09006,-0.06134,0.00051,0.7788439374755017
zh3_01_01,c1,pca-gauss-5,256,powell,-5.625739634359386,0.73188,13.810521032794924,0.05266,-0.06187,-2e-05,0.7337672187074211
zh3_01_01,c1,pca-gauss-5,256,Nelder-Mead,-5.394254755825976,0.96336,13.57413077505339,-0.18373,-0.06027,0.00158,0.980723666403378
zh3_01_01,c1,gray-gauss-7,64,powell,-5.437566019697089,0.92005,13.785452384540946,0.02759,-0.0614,0.00045,0.9204623654292637
zh3_01_01,c1,gray-gauss-7,64,Nelder-Mead,-5.538781383348509,0.81883,13.899323374101272,0.14146,-0.06153,0.00032,0.8309632414212773
zh3_01_01,c1,gray-gauss-7,128,powell,-5.470079023596892,0.88754,13.872821913699653,0.11496,-0.06095,0.0009,0.8949501943411853
zh3_01_01,c1,gray-gauss-7,128,Nelder-Mead,-5.474826019697092,0.88279,13.789192384540968,0.03133,-0.0614,0.00045,0.8833445656175412
zh3_01_01,c1,gray-gauss-7,256,powell,-5.487280996731421,0.87033,13.729589730860198,-0.02827,-0.06104,0.00081,0.8707927561538075
zh3_01_01,c1,gray-gauss-7,256,Nelder-Mead,-5.487159314653265,0.87046,13.85553345461966,0.09767,-0.06109,0.00076,0.8759182131038955
zh3_01_01,c1,hsv_v-gauss-7,64,powell,-5.922216049486959,0.4354,13.998458674873632,0.2406,-0.06331,-0.00146,0.49745319776640123
zh3_01_01,c1,hsv_v-gauss-7,64,Nelder-Mead,-5.285683454729099,1.07193,13.798011111566126,0.04015,-0.0604,0.00145,1.0726829753762441
zh3_01_01,c1,hsv_v-gauss-7,128,powell,-5.410802281632227,0.94681,13.91008635852657,0.15223,-0.06099,0.00086,0.9589716614947488
zh3_01_01,c1,hsv_v-gauss-7,128,Nelder-Mead,-5.284829858689685,1.07278,13.87261991124501,0.11476,-0.0605,0.00135,1.0789055549924287
zh3_01_01,c1,hsv_v-gauss-7,256,powell,-5.495747262766313,0.86187,13.934595732000076,0.17674,-0.06125,0.0006,0.8798016910237356
zh3_01_01,c1,hsv_v-gauss-7,256,Nelder-Mead,-5.527237452379502,0.83038,14.01127481777371,0.25341,-0.06171,0.00014,0.8681851428438818
zh3_01_01,c1,pca-gauss-7,64,powell,-5.396265285485226,0.96135,13.892461028278774,0.1346,-0.06103,0.00082,0.970726617532268
zh3_01_01,c1,pca-gauss-7,64,Nelder-Mead,-5.400669314653268,0.95695,13.834803454619646,0.07694,-0.06109,0.00076,0.960033754625981
zh3_01_01,c1,pca-gauss-7,128,powell,-5.496461557533131,0.86115,13.984735893641584,0.22688,-0.06149,0.00036,0.8905377097384437
zh3_01_01,c1,pca-gauss-7,128,Nelder-Mead,-5.390674861934812,0.96694,13.874030503819085,0.11617,-0.06096,0.00089,0.9738933581368417
zh3_01_01,c1,pca-gauss-7,256,powell,-5.575234052093753,0.78238,13.86453247584069,0.10667,-0.06179,6e-05,0.7896192261346118
zh3_01_01,c1,pca-gauss-7,256,Nelder-Mead,-5.340236727001159,1.01738,13.932213308965231,0.17435,-0.06039,0.00146,1.0322097867326343
zh3_01_02,c2,gray,64,powell,-17.52076819892458,-0.08262,11.348523099359369,-0.0571,-0.08423,0.0016,0.1004298905429626
zh3_01_02,c2,gray,64,Nelder-Mead,-17.492845227971387,-0.0547,11.364558280908625,-0.04106,-0.08403,0.0018,0.06839501421691234
zh3_01_02,c2,gray,128,powell,-17.574962015128936,-0.13681,11.377366719964499,-0.02826,-0.08427,0.00156,0.13969942698290552
zh3_01_02,c2,gray,128,Nelder-Mead,-17.448625213158422,-0.01048,11.48251883817494,0.0769,-0.08476,0.00107,0.07760596660692338
zh3_01_02,c2,gray,256,powell,-17.611795711926796,-0.17365,11.63328209861885,0.22766,-0.08484,0.00099,0.28632400658389406
zh3_01_02,c2,gray,256,Nelder-Mead,-17.419542258552084,0.01861,11.576664091162485,0.17104,-0.08473,0.0011,0.17205021890159672
